record_id,collection_zone,district,ward_number,collection_date,collection_time,waste_source,collection_point_id,latitude,longitude,waste_category,sub_waste_type,waste_weight_kg,waste_volume_m3,moisture_content_pct,organic_content_pct,plastic_content_pct,metal_content_pct,glass_content_pct,paper_content_pct,hazardous_content_pct,contamination_level,odor_level,temperature_c,humidity_pct,rainfall_mm,air_quality_index,collection_frequency_days,bin_fill_level_pct,overflow_status,vehicle_type,vehicle_capacity_kg,distance_to_processing_km,travel_time_min,fuel_consumption_l,traffic_density,processing_facility,recycling_feasibility_score,compost_quality_score,energy_recovery_score,landfill_priority_score,resource_recovery_score,collection_priority_score,route_efficiency_score,operational_cost_usd,carbon_emission_kg,farmland_reuse_potential,management_decision,bin_fill_score,hazardous_score,contamination_score,collection_priority_normalized,waste_risk_score,waste_risk_level,aqi_score,carbon_score,pollution_risk_score,pollution_risk_level,compliance_status
SWM_100000,West Zone,District_H,35,04-02-2025,23:09,Institutional,CP_6128,18.861663,95.570715,Mixed,Mixed Wet,590.96,7.26,18.26,15.6,4.65,43.31,24.04,42.48,0.31,9.7,8.32,23.73,33.64,22.01,194,8,44.34,No,Auto Tipper,10089,31.96,25,18.41,Low,Waste Processing Unit,29.12,61.19,13.95,29.21,36.64,45.61,78.52,151.82,64.14,Low,Energy Recovery,30.42880360045006,2.0666666666666664,97.0,45.604560456045604,38.92887217525353,Low,51.24999999999999,51.421862770675716,41.464892164536046,Moderate,Compliant
SWM_100001,Suburban Zone,District_C,49,24-07-2025,19:59,Residential,CP_3655,25.180022,69.347062,Organic,Food Waste,493.88,2.21,10.53,94.89,77.25,40.42,12.18,5.86,10.26,4.4,1.22,31.37,22.58,109.12,115,4,40.7,No,Mini Truck,1639,40.09,113,13.85,Moderate,Composting Facility,52.01,54.67,18.49,96.96,77.51,93.95,89.48,374.82,111.02,Low,Energy Recovery,25.878234779347427,68.39999999999999,44.00000000000001,93.94939493949394,50.34370315266306,Medium,26.5625,92.19062527176276,54.61843758152883,Moderate,Warning
SWM_100002,Urban Zone,District_C,48,23-05-2025,23:29,Market,CP_7850,10.566283,73.683503,Metal,Copper,55.28,4.04,38.04,27.13,66.3,17.84,11.24,32.56,2.11,8.02,0.75,44.65,77.92,23.85,34,5,20.44,Yes,Electric Vehicle,5820,49.11,178,28.86,Moderate,Recovery Center,72.9,77.13,7.4,35.85,11.59,86.31,62.33,225.3,12.31,Medium,Recycling,0.5500687585948261,14.066666666666666,80.19999999999999,86.30863086308631,32.722988799567545,Low,1.25,6.348378119836508,5.342846769284286,Low,Compliant
SWM_100003,Industrial Zone,District_C,10,07-05-2025,13:08,Industrial,CP_9572,17.018487,77.430316,Metal,Steel,589.09,7.72,80.41,47.22,9.57,35.66,30.43,33.68,11.56,4.94,5.23,29.54,21.91,12.95,344,6,22.51,No,Electric Vehicle,8583,38.55,58,13.95,Moderate,Composting Facility,50.86,90.76,24.93,41.04,75.56,22.88,7.7,202.26,23.54,High,Energy Recovery,3.1378922365295687,77.06666666666668,49.400000000000006,22.872287228722872,33.832666645586926,Low,98.125,16.114444734324724,69.31016675363075,High,Warning
SWM_100004,Urban Zone,District_A,21,30-07-2025,18:51,Institutional,CP_3936,34.961232,91.435491,Metal,Steel,514.05,10.48,73.31,18.66,71.4,26.97,32.3,53.77,4.77,1.1,2.28,29.53,81.35,103.29,270,2,20.56,Yes,Dump Truck,4074,31.13,56,17.86,High,Recycling Plant,22.21,11.99,33.76,94.29,32.32,51.88,70.3,243.63,116.75,Low,Composting,0.7000875109388658,31.799999999999994,11.000000000000002,51.875187518751886,18.21131313218833,Low,75.0,97.17366727541526,73.01210018262458,High,Violation
SWM_100005,Industrial Zone,District_B,4,18-09-2024,23:54,Market,CP_8679,35.910972,75.301687,Glass,Jar,407.85,3.75,29.21,3.69,48.77,25.13,2.06,16.72,13.62,2.4,1.45,31.22,93.92,29.05,64,6,73.77,Yes,Dump Truck,11302,45.94,8,11.03,Low,Transfer Station,72.82,36.78,63.23,63.35,53.58,9.03,83.53,219.64,26.45,Medium,Landfill,67.2209026128266,90.8,24.0,9.02090209020902,55.74149635866199,Medium,10.625,18.645099573875985,29.066029872162794,Low,Compliant
SWM_100006,Central Zone,District_F,40,04-09-2024,08:26,Institutional,CP_5173,9.182479,85.135895,Glass,Jar,548.5,0.4,48.53,22.65,51.61,8.72,27.64,23.2,14.05,1.38,3.41,21.06,89.35,105.28,69,10,40.64,Yes,Mini Truck,4546,39.94,76,33.05,Low,Transfer Station,55.52,52.97,24.19,9.31,89.72,90.04,63.31,229.86,45.16,Low,Recycling,25.8032254031754,93.66666666666667,13.799999999999999,90.03900390039004,50.00380741299533,Medium,12.1875,34.91607965910079,35.301907231063566,Low,Compliant
SWM_100007,East Zone,District_G,22,13-10-2024,20:08,Market,CP_5542,29.052715,94.016198,Organic,Fruit Waste,711.93,9.4,59.57,8.41,12.93,44.93,24.26,0.55,1.52,6.64,0.05,22.34,61.16,83.03,137,3,72.16,Yes,Compactor Truck,4546,14.23,28,29.06,High,Composting Facility,23.72,32.54,74.65,64.96,84.92,65.76,56.83,92.46,47.29,High,Composting,65.20815101887736,10.133333333333333,66.39999999999999,65.75657565756576,51.76008008951914,Medium,33.4375,36.768414644751715,29.775941060092183,Low,Compliant
SWM_100008,Urban Zone,District_A,21,13-04-2025,12:22,Residential,CP_1855,15.690869,75.0757,Plastic,HDPE,778.95,4.84,80.82,63.11,63.58,25.13,23.08,29.55,2.93,7.22,2.81,18.66,68.41,21.25,291,8,95.24,No,Electric Vehicle,6359,57.28,82,36.76,High,Recycling Plant,37.02,1.55,92.83,42.82,96.67,96.36,85.3,204.89,49.29,High,Recycling,94.06175771971496,19.53333333333333,72.2,96.35963596359636,71.40198181575877,High,81.5625,38.50769632141925,56.240225563092444,Moderate,Violation
SWM_100009,Suburban Zone,District_G,50,24-11-2024,08:05,Institutional,CP_8773,32.682963,77.190738,Metal,Iron,152.2,6.77,84.57,69.6,45.6,4.86,24.6,59.4,2.1,5.18,8.77,38.0,72.28,84.3,189,9,48.76,No,Auto Tipper,2281,18.32,159,32.76,Low,Composting Facility,81.01,86.71,91.32,51.13,50.15,79.83,65.0,433.1,96.52,Low,Recycling,35.95449431178898,14.000000000000002,51.800000000000004,79.82798279827983,40.21599514445757,Medium,49.6875,79.58083311592313,51.51799993477694,Moderate,Compliant
SWM_100010,East Zone,District_G,36,04-10-2024,22:09,Institutional,CP_9029,33.810155,77.80186,Paper,Office Paper,312.95,1.31,54.15,3.59,37.25,27.13,11.46,35.45,0.46,0.37,8.23,27.73,29.53,62.67,91,9,81.6,No,Dump Truck,3916,13.73,11,25.67,Moderate,Waste Processing Unit,8.53,5.17,53.14,54.06,63.74,72.61,97.59,329.13,42.14,Low,Landfill,77.0096262032754,3.066666666666667,3.6999999999999997,72.60726072607261,43.20160625688772,Medium,19.0625,32.28976432733282,19.831512631533176,Low,Compliant
SWM_100011,Suburban Zone,District_D,40,18-04-2025,17:40,Market,CP_4129,31.0604,75.854135,Paper,Magazine,362.4,1.13,7.15,96.26,66.88,34.8,16.36,10.4,2.35,2.5,5.49,37.29,69.51,33.59,221,3,96.39,Yes,Compactor Truck,8243,44.54,97,23.07,High,Composting Facility,61.17,41.96,24.77,35.6,75.78,1.44,11.61,65.76,9.68,High,Energy Recovery,95.49943742967871,15.666666666666668,25.0,1.4301430143014302,47.33096309068336,Medium,59.68750000000001,4.0612227150186975,34.19545014783895,Low,Violation
SWM_100012,Central Zone,District_F,7,09-05-2025,17:46,Industrial,CP_5157,32.808357,88.406078,Metal,Aluminum,389.86,1.35,46.79,47.35,13.86,21.69,15.94,36.95,9.53,0.45,3.75,34.9,57.74,102.78,340,5,72.7,Yes,Dump Truck,11513,10.61,127,4.68,Moderate,Recycling Plant,64.24,2.65,58.58,94.02,57.55,38.82,64.33,296.62,67.75,Low,Composting,65.88323540442556,63.53333333333333,4.5,38.81388138813882,48.95870970332438,Medium,96.875,54.56126619706062,77.51254652578486,High,Warning
SWM_100013,Central Zone,District_E,41,20-06-2025,11:42,Residential,CP_1498,35.302479,79.196976,Mixed,General Waste,769.73,10.88,21.64,6.94,8.06,0.91,3.78,40.98,1.07,3.19,8.45,18.63,81.09,33.82,341,8,29.45,No,Compactor Truck,8756,42.11,170,25.9,High,Recycling Plant,87.75,73.51,80.35,28.2,17.74,75.06,80.68,594.68,52.45,High,Energy Recovery,11.813976747093387,7.133333333333333,31.900000000000002,75.05750575057506,24.14754989475695,Low,97.1875,41.25576137055397,62.39714507783286,High,Warning
SWM_100014,North Zone,District_C,46,31-05-2025,00:52,Hospital,CP_3898,18.788524,90.515976,Paper,Cardboard,285.83,11.18,77.97,42.9,60.07,37.73,4.12,54.15,7.58,8.26,3.2,42.18,49.19,1.3,72,7,92.43,Yes,Mini Truck,8264,6.39,168,14.13,High,Recycling Plant,95.01,95.06,57.34,63.18,44.84,29.32,32.87,416.61,91.52,Medium,Landfill,90.54881860232531,50.53333333333333,82.6,29.312931293129314,69.76980046823286,High,13.125,75.23262892425427,39.23895534394295,Low,Warning
SWM_100015,Central Zone,District_D,42,21-09-2024,14:51,Market,CP_1273,30.955792,90.898926,Organic,Crop Residue,91.14,6.03,9.89,54.95,35.32,44.39,14.04,7.02,2.14,7.62,6.18,20.73,26.31,84.12,192,3,25.82,No,Auto Tipper,1232,49.49,175,28.84,Moderate,Waste Processing Unit,8.13,8.48,98.66,37.43,37.06,81.28,94.72,592.16,91.64,Low,Recycling,7.275909488686086,14.266666666666666,76.2,81.27812781278128,33.908749634058296,Low,50.625,75.33698582485432,50.76692908078963,Moderate,Compliant
SWM_100016,North Zone,District_B,13,03-05-2025,07:01,Market,CP_3416,18.911528,70.421521,Mixed,Municipal Mixed,626.17,6.79,41.06,90.64,8.9,24.63,0.45,28.12,0.84,1.19,1.18,35.53,75.95,70.0,72,3,96.97,No,Mini Truck,5514,23.12,160,12.86,Low,Recovery Center,86.86,22.36,96.32,1.22,96.99,4.32,89.11,335.51,119.19,Medium,Energy Recovery,96.22452806600825,5.6000000000000005,11.899999999999999,4.310431043104311,42.916375882868955,Medium,13.125,99.29559092094965,37.47117727628489,Low,Violation
SWM_100017,North Zone,District_E,18,18-08-2024,23:26,Market,CP_6745,10.1401,84.061774,Plastic,PET,776.06,6.37,58.5,69.57,36.36,31.38,23.37,54.07,0.68,2.81,9.5,42.04,54.17,74.42,204,8,42.19,Yes,Auto Tipper,8585,12.1,27,19.62,Low,Recycling Plant,35.34,58.37,7.77,97.44,98.62,69.82,53.61,213.34,98.59,High,Energy Recovery,27.740967620952617,4.533333333333333,28.1,69.81698169816981,28.322267636439854,Low,54.37499999999999,81.38098965127402,52.50846356204887,Moderate,Warning
SWM_100018,South Zone,District_C,21,06-02-2025,23:44,Market,CP_1329,27.857204,72.715891,Mixed,Mixed Wet,730.52,9.91,85.73,72.57,49.07,20.91,37.31,51.96,0.68,0.26,3.76,39.88,94.05,18.05,35,4,67.53,No,Electric Vehicle,2331,23.47,68,38.86,Moderate,Composting Facility,84.21,83.83,46.87,41.48,27.34,5.64,86.47,495.22,119.97,Low,Recycling,59.419927490936374,4.533333333333333,2.6,5.630563056305631,26.265888788153728,Low,1.5625,99.97391077484998,31.68008989912166,Low,Warning
SWM_100019,East Zone,District_E,4,16-08-2024,15:01,Institutional,CP_5703,36.902468,84.107519,Mixed,Mixed Wet,619.81,11.35,77.22,24.73,36.04,6.46,38.16,36.37,3.43,6.72,6.18,27.67,28.52,80.59,172,3,61.62,No,Electric Vehicle,4702,46.57,53,21.77,Moderate,Composting Facility,85.22,55.19,56.09,87.67,40.35,13.4,2.88,462.88,76.34,High,Composting,52.031503937992255,22.866666666666667,67.19999999999999,13.391339133913394,41.97796911195058,Medium,44.375,62.03148099834769,45.370277632837634,Moderate,Compliant
SWM_100020,Central Zone,District_H,17,13-05-2025,07:33,Residential,CP_9026,28.418313,74.175961,Paper,Office Paper,126.37,0.37,34.8,58.99,31.38,21.87,36.17,20.9,7.71,7.84,3.97,34.8,84.68,113.94,326,6,31.77,No,Auto Tipper,8367,55.67,166,20.7,High,Composting Facility,25.82,45.91,98.0,49.26,32.88,63.34,24.01,82.48,19.82,High,Landfill,14.714339292411552,51.4,78.4,63.33633363336334,43.91618576196912,Medium,92.5,12.879380815723106,60.393814244716935,High,Warning
